"Timestamp","Indentation in JavaScript files?","Do you use semicolons in JavaScript?","Do you use a linter preset?","What tools do you use to validate code style?"
"2017/01/16 3:38:56 PM GMT+1","Tabs","Yes","Don’t use any","ESLint;JSHint"
"2017/01/16 3:39:21 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:39:40 PM GMT+1","2 spaces","Yes","eslint-config-llama","ESLint"
"2017/01/16 3:40:03 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:40:11 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:40:27 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:40:48 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:40:53 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:40:54 PM GMT+1","4 spaces","No","Don’t use any",""
"2017/01/16 3:41:09 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint;JSHint;JSCS"
"2017/01/16 3:41:18 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;JSHint"
"2017/01/16 3:41:33 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:41:36 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 3:41:42 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:41:47 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:41:55 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:42:00 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:42:03 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:42:04 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:42:04 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:42:38 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:42:49 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint;xo"
"2017/01/16 3:42:50 PM GMT+1","2 spaces","Yes","Mostly recommended from eslint & react plugin","ESLint"
"2017/01/16 3:43:08 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:43:11 PM GMT+1","2 spaces","Yes","Standard","TSLint"
"2017/01/16 3:43:13 PM GMT+1","4 spaces","No","AirBnb","ESLint"
"2017/01/16 3:43:40 PM GMT+1","2 spaces","Yes","Don’t use any","editorconfig"
"2017/01/16 3:43:46 PM GMT+1","Tabs","Yes","react","ESLint"
"2017/01/16 3:43:52 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:43:55 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:43:57 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:43:59 PM GMT+1","Tabs","No","AirBnb","ESLint"
"2017/01/16 3:44:09 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:44:30 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:44:32 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:44:38 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:45:08 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:45:09 PM GMT+1","4 spaces","Yes","Don’t use any","Standard"
"2017/01/16 3:45:23 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:45:27 PM GMT+1","2 spaces","Yes","Google","ESLint;JSHint;JSCS"
"2017/01/16 3:45:32 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:45:41 PM GMT+1","2 spaces","Yes","Standard","ESLint;JSCS"
"2017/01/16 3:46:04 PM GMT+1","Tabs","Yes","Don’t use any","none"
"2017/01/16 3:46:26 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:46:35 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:46:37 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:46:59 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:47:00 PM GMT+1","4 spaces","Yes","Standard","JSHint"
"2017/01/16 3:47:15 PM GMT+1","Tabs","Yes","Don’t use any",""
"2017/01/16 3:47:27 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:47:37 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:47:46 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:47:46 PM GMT+1","Tabs","No","Standard","ESLint"
"2017/01/16 3:47:51 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:47:58 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:48:01 PM GMT+1","Tabs of 2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:48:07 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:48:11 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;JSHint"
"2017/01/16 3:48:18 PM GMT+1","2 spaces","Yes","own preset","ESLint"
"2017/01/16 3:48:29 PM GMT+1","Tabs","Yes","Company","ESLint"
"2017/01/16 3:48:44 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:49:05 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:49:08 PM GMT+1","2 spaces","No","My own","ESLint"
"2017/01/16 3:49:25 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:49:38 PM GMT+1","4 spaces","Yes","own","ESLint"
"2017/01/16 3:49:39 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:49:43 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:49:46 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:50:22 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:50:32 PM GMT+1","Tabs","Yes","Standard","Standard"
"2017/01/16 3:50:42 PM GMT+1","4 spaces","Yes","Standard","ESLint;JSHint;JSCS"
"2017/01/16 3:50:42 PM GMT+1","2 spaces","Yes","Prettier","Prettier"
"2017/01/16 3:50:48 PM GMT+1","4 spaces","Yes","eslint:recommended, react/recommended","ESLint"
"2017/01/16 3:50:50 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:50:58 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:51:03 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint;JSHint"
"2017/01/16 3:51:04 PM GMT+1","Tabs","Yes","https://github.com/coryhouse/pluralsight-redux-starter/blob/master/.eslintrc","ESLint"
"2017/01/16 3:51:16 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:51:27 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:51:39 PM GMT+1","2 spaces","Yes","rallycoding","ESLint"
"2017/01/16 3:51:53 PM GMT+1","4 spaces","No","Standard","Standard"
"2017/01/16 3:51:59 PM GMT+1","2 spaces","Yes","Mark volkmann ","ESLint"
"2017/01/16 3:52:19 PM GMT+1","2 spaces","Yes","modified AirBnb","ESLint"
"2017/01/16 3:52:21 PM GMT+1","2 spaces","No","Corporate","Corporate"
"2017/01/16 3:52:27 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:52:36 PM GMT+1","Tabs","Yes","Don’t use any",""
"2017/01/16 3:52:47 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:53:15 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:53:21 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:53:36 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:53:37 PM GMT+1","2 spaces","Yes","typescript compiler","tslint"
"2017/01/16 3:54:11 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:54:25 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:54:31 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:55:05 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:55:19 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:56:21 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:56:22 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:56:37 PM GMT+1","Tabs","Yes","Don’t use any","ESLint;js-beautify"
"2017/01/16 3:56:42 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:56:53 PM GMT+1","Tabs","No","Don’t use any","ESLint"
"2017/01/16 3:57:04 PM GMT+1","4 spaces","Yes","Standard","ESLint;JSHint"
"2017/01/16 3:57:11 PM GMT+1","2 spaces","No","Don’t use any","JSHint"
"2017/01/16 3:57:26 PM GMT+1","2 spaces","Yes","Create react app","ESLint"
"2017/01/16 3:57:33 PM GMT+1","2 spaces","Yes","Semistandard","ESLint"
"2017/01/16 3:57:36 PM GMT+1","Tabs","Yes","Standard","ESLint;Prettier"
"2017/01/16 3:57:47 PM GMT+1","2 spaces","No","AirBnb, formatting only, no style","ESLint"
"2017/01/16 3:58:03 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:58:14 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:58:23 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 3:58:25 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:58:40 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:59:01 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:59:02 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 3:59:04 PM GMT+1","Tabs","Yes","Don’t use any","Standard"
"2017/01/16 3:59:05 PM GMT+1","2 spaces","Yes","Node standard react airbnb","ESLint"
"2017/01/16 3:59:11 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:59:34 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:59:34 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:59:51 PM GMT+1","4 spaces","Yes","Don’t use any","Webstorm defaults"
"2017/01/16 3:59:52 PM GMT+1","2 spaces","Yes","Don’t use any","None "
"2017/01/16 4:00:50 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 4:01:21 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:01:27 PM GMT+1","2 spaces","Yes","Recommended","ESLint"
"2017/01/16 4:01:56 PM GMT+1","2 spaces","No","my own","ESLint"
"2017/01/16 4:02:20 PM GMT+1","2 spaces","Yes","Standard","ESLint;JSHint"
"2017/01/16 4:02:53 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:03:11 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:03:21 PM GMT+1","2 spaces","No","Don’t use any","cra"
"2017/01/16 4:03:40 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:04:03 PM GMT+1","4 spaces","Yes","fork from airBnB modified for our usage","ESLint"
"2017/01/16 4:04:07 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:04:29 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:04:33 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:04:57 PM GMT+1","Tabs","No","Standard","ESLint"
"2017/01/16 4:05:09 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 4:05:19 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 4:05:35 PM GMT+1","Tabs","Yes","Don’t use any","ESLint;JSCS"
"2017/01/16 4:05:44 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:05:47 PM GMT+1","Tabs","No","Don’t use any","JSCS;Prettier"
"2017/01/16 4:05:57 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:06:16 PM GMT+1","2 spaces","No","Create-react-app","ESLint"
"2017/01/16 4:06:18 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:06:23 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:06:44 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:06:49 PM GMT+1","Tabs","No","AirBnb","ESLint;JSHint"
"2017/01/16 4:06:55 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:07:20 PM GMT+1","Tabs","No","Standard","ESLint"
"2017/01/16 4:07:46 PM GMT+1","2 spaces","Yes","Standard","JSHint"
"2017/01/16 4:08:09 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:08:41 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:08:45 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:08:58 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:10:13 PM GMT+1","Tabs","No","Standard","ESLint;Standard"
"2017/01/16 4:10:14 PM GMT+1","Tabs","Yes","Custom rules","ESLint"
"2017/01/16 4:10:31 PM GMT+1","Tabs","Yes","Don’t use any","Tslint"
"2017/01/16 4:10:31 PM GMT+1","4 spaces","Yes","custom","ESLint"
"2017/01/16 4:10:39 PM GMT+1","Tabs","Yes","Standard","JSHint"
"2017/01/16 4:10:44 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:10:59 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 4:11:17 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:11:29 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:11:37 PM GMT+1","Tabs","Yes","Don’t use any","Standard"
"2017/01/16 4:12:14 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:12:28 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:12:50 PM GMT+1","3 spaces","No","Modified airbnb","ESLint"
"2017/01/16 4:12:50 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:12:54 PM GMT+1","2 spaces","Yes","Our own","ESLint"
"2017/01/16 4:12:55 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:12:55 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 4:13:13 PM GMT+1","2 spaces","No","AirBnb","ESLint;Prettier"
"2017/01/16 4:13:24 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:13:25 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:13:28 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:13:37 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 4:13:48 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:13:54 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:13:54 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:14:40 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:14:53 PM GMT+1","2 spaces","Yes","Standard","ESLint;Prettier"
"2017/01/16 4:15:21 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 4:15:31 PM GMT+1","2 spaces","No","Vue","ESLint"
"2017/01/16 4:15:58 PM GMT+1","Tabs","No","Don’t use any","JSHint"
"2017/01/16 4:16:36 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:16:40 PM GMT+1","2 spaces","No","Mine :P","ESLint;Prettier"
"2017/01/16 4:16:50 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:17:01 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:17:03 PM GMT+1","2 spaces","Yes","my lint settings","ESLint"
"2017/01/16 4:17:05 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:17:24 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:17:27 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 4:17:43 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 4:18:01 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:18:29 PM GMT+1","4 spaces","No","Don’t use any",""
"2017/01/16 4:19:17 PM GMT+1","2 spaces","Yes","semi-standard","ESLint"
"2017/01/16 4:19:51 PM GMT+1","2 spaces","Yes","Don’t use any","JSHint;JSCS"
"2017/01/16 4:20:56 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 4:21:04 PM GMT+1","Tabs","Yes","Custom config in scoped npm package","ESLint"
"2017/01/16 4:21:36 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:21:41 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:21:54 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 4:22:24 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 4:22:27 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:23:50 PM GMT+1","2 spaces","Yes","Uber","ESLint"
"2017/01/16 4:23:58 PM GMT+1","4 spaces","No","Standard","ESLint"
"2017/01/16 4:24:24 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 4:24:26 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:24:39 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:26:32 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:26:34 PM GMT+1","Tabs","Yes","Don’t use any",""
"2017/01/16 4:27:04 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:27:54 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:28:01 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:28:16 PM GMT+1","2 spaces","Yes","Standard","ESLint;Prettier"
"2017/01/16 4:28:49 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:29:10 PM GMT+1","2 spaces","Yes","Custom eslint","ESLint;Prettier"
"2017/01/16 4:29:12 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 4:29:35 PM GMT+1","Tabs","Yes","own","ESLint"
"2017/01/16 4:31:19 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:31:20 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 4:32:35 PM GMT+1","2 spaces","Yes","Standard","ESLint;JSHint"
"2017/01/16 4:33:37 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:34:12 PM GMT+1","2 spaces","No","custom","ESLint"
"2017/01/16 4:34:16 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:34:33 PM GMT+1","Tabs","Yes","eslint-config-cumul8","ESLint"
"2017/01/16 4:35:12 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:35:24 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:37:02 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:37:30 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 4:37:59 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:38:29 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 4:38:34 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:40:31 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:41:17 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:41:18 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;JSCS"
"2017/01/16 4:41:22 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:41:30 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:41:54 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:42:56 PM GMT+1","2 spaces","Yes","Customized AirBnb","ESLint"
"2017/01/16 4:43:09 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 4:43:17 PM GMT+1","Tabs","Yes","Standard","JSHint"
"2017/01/16 4:43:27 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:43:33 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:43:57 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:44:26 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:44:36 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 4:44:52 PM GMT+1","2 spaces","Yes","AirBnb",""
"2017/01/16 4:45:08 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:45:17 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 4:45:48 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:46:20 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:46:25 PM GMT+1","4 spaces","No","AirBnb","ESLint;JSHint"
"2017/01/16 4:46:44 PM GMT+1","Tabs","No","Don’t use any","ESLint"
"2017/01/16 4:46:58 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:47:34 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 4:48:06 PM GMT+1","2 spaces","No","Standard","ESLint;Prettier;Standard"
"2017/01/16 4:49:36 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 4:49:59 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:50:27 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:50:35 PM GMT+1","Tabs","No","Don’t use any","ESLint;JSHint"
"2017/01/16 4:50:46 PM GMT+1","tabs (2 spaces)","Yes","AirBnb","ESLint"
"2017/01/16 4:51:02 PM GMT+1","YOLO, mixing everything","Yes","Don’t use any",""
"2017/01/16 4:51:19 PM GMT+1","4 spaces","No","Standard","ESLint"
"2017/01/16 4:53:05 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 4:54:17 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;JSHint"
"2017/01/16 4:54:24 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 4:54:40 PM GMT+1","Tabs","Yes","Semistandard","ESLint"
"2017/01/16 4:54:41 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:55:16 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:55:29 PM GMT+1","2 spaces","Yes","AirBnb","JSHint;Prettier"
"2017/01/16 4:55:55 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 4:56:08 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 4:56:23 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:56:26 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:56:36 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 4:57:43 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 4:57:52 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 4:58:08 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;JSHint;JSCS"
"2017/01/16 4:58:37 PM GMT+1","Tabs","No","AirBnb","ESLint"
"2017/01/16 4:58:43 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 5:00:02 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 5:00:49 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 5:01:19 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 5:02:10 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 5:02:12 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 5:02:18 PM GMT+1","4 spaces","Yes","Mine ","ESLint"
"2017/01/16 5:02:25 PM GMT+1","4 spaces","Yes","Company specific","ESLint"
"2017/01/16 5:02:35 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 5:02:53 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 5:03:14 PM GMT+1","4 spaces","Yes","Don’t use any","Standard"
"2017/01/16 5:04:16 PM GMT+1","4 spaces","No","AirBnb","ESLint"
"2017/01/16 5:05:10 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 5:05:52 PM GMT+1","Tabs","No","AirBnb","ESLint"
